Source,Target,Mol1_ID,Mol2_ID,Mol1_Activity,Mol2_Activity,Tanimoto_Similarity,Activity_Difference,Activity_Similarity,SALI,Type
319,94,319,94,8.464021324,1.255067827,0.741935484,7.208953497000001,0.2791046503000719,27.934694814734105,High SALI Cliff
94,319,94,319,1.255067827,8.464021324,0.741935484,7.208953497000001,0.2791046503000719,27.934694814734105,High SALI Cliff
109,297,109,297,8.558134234,0.91924935,0.56,7.638884884,0.23611151160007637,17.361102009051457,High SALI Cliff
304,109,304,109,1.941937278,8.558134234,0.6,6.6161969560000005,0.33838030440006617,16.54049238995865,High SALI Cliff
109,304,109,304,8.558134234,1.941937278,0.6,6.6161969560000005,0.33838030440006617,16.54049238995865,High SALI Cliff
38,297,38,297,7.603928484,0.91924935,0.56,6.684679134,0.33153208660006694,15.1924525772382,High SALI Cliff
297,38,297,38,0.91924935,7.603928484,0.56,6.684679134,0.33153208660006694,15.1924525772382,High SALI Cliff
111,109,111,109,1.721994522,8.558134234,0.538461538,6.8361397120000005,0.3163860288000683,14.811636027822939,High SALI Cliff
54,110,54,110,1.352748697,6.918097982,0.6,5.565349285,0.44346507150005565,13.913373212465217,High SALI Cliff
110,54,110,54,6.918097982,1.352748697,0.6,5.565349285,0.44346507150005565,13.913373212465217,High SALI Cliff
93,109,93,109,2.314355349,8.558134234,0.538461538,6.243778885000001,0.3756221115000623,13.52818757060917,High SALI Cliff
111,38,111,38,1.721994522,7.603928484,0.538461538,5.881933962,0.41180660380005885,12.744190238228196,High SALI Cliff
51,57,51,57,10.0,2.920125678,0.444444444,7.079874322,0.2920125678000708,12.743773769382042,High SALI Cliff
227,109,227,109,1.790480949,8.558134234,0.466666667,6.767653285000001,0.32323467150006757,12.689349917282051,High SALI Cliff
95,223,95,223,1.217269556,6.621097573,0.571428571,5.403828017,0.459617198300054,12.608932027028315,High SALI Cliff
215,127,215,127,3.28392722,9.244076057,0.52173913,5.960148836999999,0.4039851163000596,12.46212937509928,High SALI Cliff
127,215,127,215,9.244076057,3.28392722,0.52173913,5.960148836999999,0.4039851163000596,12.46212937509928,High SALI Cliff
95,92,95,92,1.217269556,7.050724185,0.527777778,5.833454629,0.4166545371000583,12.353198043669465,High SALI Cliff
38,304,38,304,7.603928484,1.941937278,0.538461538,5.661991206,0.4338008794000566,12.267647600705772,High SALI Cliff
64,51,64,51,3.396343677,10.0,0.461538462,6.603656323,0.33963436770006605,12.263933181774883,High SALI Cliff
